
Date,Date and Time,Count,Day of Week,Time,Cumulative Count,Precipitation (in),Rain (in)
31-10-2008,31-10-2008 18:00,0,Friday,6:00pm,0,0,0
31-10-2008,31-10-2008 18:30,75,Friday,6:30pm,75,0,0
31-10-2008,31-10-2008 19:00,117,Friday,7:00pm,192,0,0
31-10-2008,31-10-2008 19:30,147,Friday,7:30pm,339,0,0
31-10-2008,31-10-2008 20:00,144,Friday,8:00pm,483,0,0
31-10-2008,31-10-2008 20:15,9,Friday,8:15pm,492,0,0
31-10-2009,31-10-2009 18:00,0,Saturday,6:00pm,0,0.67,0.67
31-10-2009,31-10-2009 18:30,52,Saturday,6:30pm,52,0.67,0.67
31-10-2009,31-10-2009 19:00,177,Saturday,7:00pm,229,0.67,0.67
31-10-2009,31-10-2009 19:30,150,Saturday,7:30pm,379,0.67,0.67
31-10-2009,31-10-2009 20:00,143,Saturday,8:00pm,522,0.67,0.67
31-10-2009,31-10-2009 20:15,20,Saturday,8:15pm,542,0.67,0.67
31-10-2010,31-10-2010 18:00,0,Sunday,6:00pm,0,0,0
31-10-2010,31-10-2010 18:30,172,Sunday,6:30pm,172,0,0
31-10-2010,31-10-2010 19:00,179,Sunday,7:00pm,351,0,0
31-10-2010,31-10-2010 19:30,187,Sunday,7:30pm,538,0,0
31-10-2010,31-10-2010 20:00,185,Sunday,8:00pm,723,0,0
31-10-2010,31-10-2010 20:15,3,Sunday,8:15pm,726,0,0
31-10-2011,31-10-2011 18:00,0,Monday,6:00pm,0,0,0
31-10-2011,31-10-2011 18:30,172,Monday,6:30pm,172,0,0
31-10-2011,31-10-2011 19:00,195,Monday,7:00pm,367,0,0
31-10-2011,31-10-2011 19:30,252,Monday,7:30pm,619,0,0
31-10-2011,31-10-2011 20:00,197,Monday,8:00pm,816,0,0
31-10-2011,31-10-2011 20:15,53,Monday,8:15pm,869,0,0
31-10-2012,31-10-2012 18:00,0,Wednesday,6:00pm,0,0,0
31-10-2012,31-10-2012 18:30,147,Wednesday,6:30pm,147,0,0
31-10-2012,31-10-2012 19:00,163,Wednesday,7:00pm,310,0,0
31-10-2012,31-10-2012 19:30,232,Wednesday,7:30pm,542,0,0
31-10-2012,31-10-2012 20:00,111,Wednesday,8:00pm,653,0,0
31-10-2012,31-10-2012 20:15,20,Wednesday,8:15pm,673,0,0
31-10-2013,31-10-2013 18:00,33,Thursday,6:00pm,33,0.6,0.6
31-10-2013,31-10-2013 18:30,119,Thursday,6:30pm,152,0.6,0.6
31-10-2013,31-10-2013 19:00,81,Thursday,7:00pm,233,0.6,0.6
31-10-2013,31-10-2013 19:30,70,Thursday,7:30pm,303,0.6,0.6
31-10-2013,31-10-2013 20:00,68,Thursday,8:00pm,371,0.6,0.6
31-10-2013,31-10-2013 20:15,20,Thursday,8:15pm,391,0.6,0.6
31-10-2014,31-10-2014 18:00,0,Friday,6:00pm,0,0.17,0.17
31-10-2014,31-10-2014 18:30,106,Friday,6:30pm,106,0.17,0.17
31-10-2014,31-10-2014 19:00,91,Friday,7:00pm,197,0.17,0.17
31-10-2014,31-10-2014 19:30,124,Friday,7:30pm,321,0.17,0.17
31-10-2014,31-10-2014 20:00,115,Friday,8:00pm,436,0.17,0.17
31-10-2014,31-10-2014 20:15,18,Friday,8:15pm,454,0.17,0.17
